CaseID,B3,ND2,B7_b,GH1,ppeducat,ppethm,weight_pop
70,0,3,2,1,4,1,13914.758
71,0,3,1,1,2,1,23445.1546
72,1,2,2,3,4,1,17523.5629
73,1,2,2,3,4,1,16733.4566
74,0,3,2,2,4,1,14140.9356
75,0,3,2,4,4,4,19484.1217
76,0,2,1,1,3,1,22689.5099
77,1,3,1,1,3,1,17821.3844
78,1,3,1,2,4,1,12153.1069
79,0,3,1,2,2,1,24619.3862
80,1,2,3,1,4,1,10512.3875
81,1,3,2,1,3,3,43044.9865
82,1,3,2,3,2,1,20411.4205
83,1,3,2,2,4,1,13063.8424
84,1,2,2,1,4,1,15321.6202
85,0,3,1,1,4,1,13063.8424
86,1,1,3,1,4,1,20174.8978
87,0,3,2,4,1,1,18265.9019
88,1,2,2,2,4,1,21793.3678
89,1,2,3,2,4,1,16814.7934
90,1,3,3,2,3,1,24347.811
91,0,2,1,1,3,1,18880.3487
92,1,2,2,2,3,1,20089.3827
93,1,2,2,4,4,5,6372.5699
94,1,2,2,1,2,1,28784.3601
95,1,2,2,1,4,2,21493.2073
96,1,1,2,2,4,1,15321.6202
97,1,3,2,2,4,1,16142.5632
98,1,3,1,4,2,1,30155.2989
99,1,2,3,1,4,1,27746.4885
100,0,3,1,2,3,1,14149.361
101,0,3,1,2,3,1,25652.3835
102,1,2,3,2,4,1,26883.5313
103,0,3,1,1,3,1,13813.4652
104,0,1,1,1,3,1,15529.7006
106,1,2,2,2,4,1,21793.3678
107,0,3,3,2,4,1,21515.8307
108,1,3,2,2,2,1,18596.2755
109,0,3,1,1,4,1,8930.4961
110,0,3,1,2,4,1,9028.787899999999
111,1,3,1,2,4,1,27473.8328
112,1,3,1,1,3,1,25577.0393
113,1,3,1,3,2,1,16098.9296
114,0,5,2,3,4,1,9028.787899999999
115,0,3,1,1,4,1,21579.2115
116,1,3,1,1,4,1,23429.6804
117,0,3,1,1,3,1,19612.475
118,1,1,2,1,4,3,39606.6613
119,1,2,2,2,4,2,10953.9648
120,0,3,1,2,4,1,16302.7652
121,1,3,2,1,3,1,32659.6408
122,0,1,1,4,4,3,17159.0665
123,1,3,3,3,2,2,30885.9165
124,0,3,1,2,4,1,10739.5377
125,0,3,2,1,3,1,27029.4281
126,1,3,3,1,2,1,14715.7153
127,1,3,1,1,4,2,37098.8271
128,0,4,2,1,4,1,19790.4153
129,1,3,2,1,3,1,16308.8148
130,0,3,1,1,2,1,21612.2715
131,1,3,2,1,4,2,17173.8704
132,0,3,1,1,4,1,16302.7652
133,1,3,2,3,2,1,13758.0583
134,1,1,2,2,4,1,12033.6823
135,0,3,1,1,4,4,11435.6574
136,1,3,3,1,4,1,9118.3914
137,1,2,2,1,3,1,15700.0129
138,0,1,1,3,2,1,23602.0837
139,1,3,2,2,3,1,12225.0555
